date,gold_price
1979-01-01,1840.8
1979-02-01,2011.7
1979-03-01,1940.2
1979-04-01,2013.1
1979-05-01,2253.4
1979-06-01,2190.6
1979-07-01,2354.1
1979-08-01,2527.7
1979-09-01,3190.3
1979-10-01,3142.6
1979-11-01,3310.3
1979-12-01,4189.6
1980-01-01,5329.6
1980-02-01,5138.1
1980-03-01,4155.4
1980-04-01,4155.2
1980-05-01,4152.3
1980-06-01,5150.4
1980-07-01,4813.2
1980-08-01,4903.6
1980-09-01,5211.3
1980-10-01,4911.2
1980-11-01,4871.9
1980-12-01,4620.3
1981-01-01,4123.2
1981-02-01,4082.9
1981-03-01,4240.5
1981-04-01,3998.5
1981-05-01,4046.5
1981-06-01,3703.8
1981-07-01,3655.1
1981-08-01,3820.1
1981-09-01,3870.4
1981-10-01,3876.4
1981-11-01,3815.0
1981-12-01,3625.1
1982-01-01,3546.0
1982-02-01,3373.9
1982-03-01,2987.6
1982-04-01,3322.1
1982-05-01,3072.3
1982-06-01,2971.9
1982-07-01,3265.4
1982-08-01,3933.3
1982-09-01,3824.8
1982-10-01,4108.4
1982-11-01,4127.6
1982-12-01,4320.0
1983-01-01,5003.5
1983-02-01,4197.0
1983-03-01,4104.3
1983-04-01,4286.4
1983-05-01,4391.8
1983-06-01,4183.6
1983-07-01,4291.0
1983-08-01,4219.7
1983-09-01,4123.3
1983-10-01,3923.5
1983-11-01,4218.6
1983-12-01,3995.0
1984-01-01,4002.4
1984-02-01,4220.1
1984-03-01,4169.1
1984-04-01,4094.2
1984-05-01,4218.3
1984-06-01,4178.2
1984-07-01,3919.9
1984-08-01,4007.9
1984-09-01,4140.0
1984-10-01,4017.0
1984-11-01,4016.0
1984-12-01,3825.9
1985-01-01,3834.8
1985-02-01,3783.1
1985-03-01,4001.6
1985-04-01,3994.6
1985-05-01,3857.0
1985-06-01,3874.7
1985-07-01,3901.3
1985-08-01,3974.0
1985-09-01,3826.2
1985-10-01,3899.9
1985-11-01,3861.2
1985-12-01,3920.6
1986-01-01,4329.0
1986-02-01,4172.4
1986-03-01,4172.5
1986-04-01,4206.1
1986-05-01,4364.7
1986-06-01,4276.4
1986-07-01,4468.9
1986-08-01,4778.8
1986-09-01,5376.9
1986-10-01,5187.4
1986-11-01,5069.3
1986-12-01,5061.0
1987-01-01,5264.7
1987-02-01,5202.4
1987-03-01,5419.5
