date,India_AverageTemperature
1796-01-01,19.083988980716253
1796-02-01,21.271691460055095
1796-03-01,24.442851239669423
1796-04-01,29.18296143250689
1796-05-01,31.69566115702479
1796-06-01,30.621741046831957
1796-07-01,28.123154269972453
1796-08-01,27.92364738292011
1796-09-01,27.501011019283748
1796-10-01,25.749421487603307
1796-11-01,22.140997245179065
1796-12-01,17.59926446280992
1797-01-01,
1797-02-01,
1797-03-01,25.01422314049587
1797-04-01,28.498966942148762
1797-05-01,31.082038567493115
1797-06-01,31.330983471074383
1797-07-01,28.27900826446281
1797-08-01,28.188674931129476
1797-09-01,27.623382920110195
1797-10-01,25.404898071625347
1797-11-01,21.353559228650138
1797-12-01,19.1701652892562
1798-01-01,19.248914600550965
1798-02-01,21.638137741046833
1798-03-01,26.383245179063362
1798-04-01,
1798-05-01,
1798-06-01,30.833834710743805
1798-07-01,29.33359228650138
1798-08-01,28.404473829201102
1798-09-01,27.54759779614325
1798-10-01,25.672837465564736
1798-11-01,22.658066115702482
1798-12-01,18.82638292011019
1799-01-01,18.697146005509644
1799-02-01,20.091617079889808
1799-03-01,25.20537190082645
1799-04-01,29.911011019283748
1799-05-01,31.88746831955923
1799-06-01,31.275300275482095
1799-07-01,28.479724517906334
1799-08-01,28.10301101928375
1799-09-01,27.637159779614326
1799-10-01,26.33076859504132
1799-11-01,22.059421487603306
1799-12-01,18.99919834710744
1800-01-01,19.14195316804408
1800-02-01,21.841143250688706
1800-03-01,25.06559779614325
1800-04-01,30.402112947658402
1800-05-01,31.053275482093664
1800-06-01,30.68082920110193
1800-07-01,27.835793388429753
1800-08-01,27.503115702479338
1800-09-01,26.57234435261708
1800-10-01,26.05117355371901
1800-11-01,22.614223140495866
1800-12-01,19.56369696969697
1801-01-01,19.482333333333333
1801-02-01,20.94787878787879
1801-03-01,27.182710743801653
1801-04-01,
1801-05-01,
1801-06-01,30.09029476584022
1801-07-01,28.597256198347107
1801-08-01,27.5677217630854
1801-09-01,27.14867493112948
1801-10-01,25.739203856749313
1801-11-01,22.451046831955924
1801-12-01,20.30855922865014
1802-01-01,19.932578512396695
1802-02-01,21.824550964187328
1802-03-01,26.939055096418734
1802-04-01,29.780143250688706
1802-05-01,30.89345179063361
1802-06-01,31.829415977961432
1802-07-01,29.198851239669423
1802-08-01,28.009217630853993
1802-09-01,28.317801652892566
1802-10-01,26.299330578512393
1802-11-01,22.23678787878788
1802-12-01,18.863600550964186
1803-01-01,17.722490358126723
1803-02-01,20.390980716253445
1803-03-01,25.446575757575758
1803-04-01,30.18150964187328
1803-05-01,31.89337465564738
1803-06-01,31.077870523415978
1803-07-01,29.22821487603306
1803-08-01,29.213702479338846
1803-09-01,28.30382920110193
1803-10-01,26.065561983471078
1803-11-01,22.72355922865014
1803-12-01,19.0384132231405
1804-01-01,19.560829201101928
1804-02-01,21.26093663911846
1804-03-01,25.343611570247933
